id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
10	5	0	0	60.00	60.00	02.75	60.00	60.00	0	0	0	60.00	2.946	1	0	0	0	0	0	0
0	6	0	0	60.00	60.00	05.78	08.68	60.00	0	1	0	60.00	4.128	1	0	1	0	0	0	0
1	6	0	1	60.00	60.00	04.25	09.58	60.00	0	1	0	60.00	4.181	1	0	0	0	0	0	0
2	6	0	1	45.16	60.00	01.72	9.58	60.00	0	1	0	60.00	4.237	1	0	1	0	0	0	0
3	6	0	1	60.00	60.00	01.78	15.22	60.00	0	1	0	60.00	4.012	1	0	1	1	0	0	0
4	6	0	0	60.00	60.00	01.59	48.52	60.00	0	1	0	60.00	4.759	1	0	0	0	0	0	0
5	6	0	1	60.00	60.00	03.13	44.92	60.00	0	1	0	60.00	4.090	1	0	1	0	0	0	0
6	6	0	0	60.00	60.00	01.28	22.58	60.00	0	1	0	60.00	4.330	1	0	0	0	0	0	0
7	6	0	0	60.00	60.00	00.60	07.65	60.00	0	0	0	60.00	3.605	1	0	0	0	0	0	0
8	6	0	0	53.97	60.00	03.47	09.33	60.00	0	1	0	60.00	3.165	1	0	1	0	0	0	0
9	6	0	0	60.00	60.00	01.16	06.77	60.00	0	1	0	60.00	3.115	1	0	0	0	0	0	0
10	6	0	0	52.91	60.00	02.81	04.64	60.00	0	0	0	60.00	3.321	1	0	1	0	0	0	0
0	7	1	0	60.00	60.00	01.12	60.00	60.00	0	0	0	02.57	4.662	1	0	1	0	0	0	0
1	7	1	0	60.00	60.00	00.94	60.00	60.00	0	0	0	03.81	4.612	1	0	0	0	0	0	0
2	7	1	0	39.50	60.00	01.28	60.00	60.00	0	0	0	05.49	4.872	1	0	1	0	0	0	0
3	7	1	0	60.00	60.00	01.34	07.24	60.00	0	0	0	02.35	4.638	1	0	1	1	0	0	0
4	7	1	0	52.30	60.00	01.09	60.00	60.00	0	0	0	03.40	5.358	1	0	0	0	0	0	0
5	7	1	0	06.02	11.69	01.53	60.00	60.00	0	0	0	15.71	4.537	1	0	1	1	0	0	0
6	7	1	0	60.00	60.00	00.93	04.41	60.00	0	1	0	02.56	4.689	1	0	0	0	0	0	0
7	7	1	0	60.00	60.00	00.91	20.59	60.00	0	0	0	01.75	4.117	1	0	0	0	0	0	0
8	7	1	0	60.00	60.00	01.94	06.49	60.00	0	0	0	05.53	3.678	1	0	1	0	0	0	0
9	7	1	0	60.00	60.00	01.10	60.00	60.00	0	0	0	02.50	3.656	1	0	0	0	0	0	0
10	7	1	0	60.00	60.00	02.57	03.28	60.00	0	1	0	04.00	3.773	1	0	1	0	0	0	0
0	8	1	1	60.00	60.00	0.96	04.93	60.00	0	1	0	0.87	5.160	1	0	1	0	0	0	0
1	8	1	0	60.00	60.00	00.75	05.39	60.00	0	1	0	02.50	5.026	1	0	0	0	0	0	0
2	8	1	0	60.00	60.00	01.44	60.00	60.00	0	0	0	07.00	5.419	1	0	1	0	0	0	0
3	8	1	1	60.00	60.00	01.31	09.86	60.00	0	0	0	03.16	4.984	1	0	1	1	0	0	0
4	8	1	1	60.00	60.00	00.97	10.08	60.00	0	0	0	01.53	5.766	1	0	0	0	0	0	0
5	8	1	0	60.00	60.00	01.94	60.00	60.00	0	0	0	01.94	4.987	1	0	1	1	0	0	0
6	8	1	0	60.00	60.00	00.87	07.99	60.00	0	1	0	00.62	5.365	1	0	0	0	0	0	0
7	8	1	1	60.00	60.00	01.16	27.30	60.00	0	0	0	01.68	4.529	1	0	0	0	0	0	0
8	8	1	0	60.00	60.00	00.97	60.00	60.00	0	1	0	05.04	4.064	1	0	1	0	0	0	0
9	8	1	1	15.08	30.06	01.97	06.90	60.00	0	1	0	02.21	4.031	1	0	0	0	0	0	0
10	8	1	0	60.00	60.00	00.62	23.46	60.00	0	1	0	01.60	4.127	1	0	1	0	0	0	0
0	9	1	1	60.00	60.00	01.03	07.59	60.00	0	0	0	02.53	5.668	1	0	1	0	0	0	0
1	9	1	1	60.00	60.00	01.25	06.92	60.00	0	0	0	01.44	5.694	1	0	0	0	0	0	0
